time,high,low,open,volumefrom,volumeto,close,conversionType,Datetime,Year
1489363200,1245.63,1205.61,1225.11,60460.94,74376298.14,1238.19,direct,2017-03-13,2017
1489449600,1255.52,1218.38,1238.19,45142.05,56058617.23,1243.14,direct,2017-03-14,2017
1489536000,1256.95,1236.43,1243.14,43592.4,54486699.63,1253.43,direct,2017-03-15,2017
1489622400,1260.24,1118.96,1253.43,132773.3,159409024.53,1172.88,direct,2017-03-16,2017
1489708800,1174.9,1063.48,1172.88,163739.0,183879768.71,1071.71,direct,2017-03-17,2017
1489795200,1103.61,940.18,1071.71,210424.36,212772055.65,971.38,direct,2017-03-18,2017
1489881600,1063.67,967.31,971.38,106444.72,108128237.76,1022.6,direct,2017-03-19,2017
1489968000,1057.5,1005.05,1022.6,61431.4,63833143.48,1047.51,direct,2017-03-20,2017
1490054400,1125.53,1043.87,1047.51,92591.27,101051998.73,1121.29,direct,2017-03-21,2017
1490140800,1121.88,997.78,1121.29,115286.08,120730492.05,1044.72,direct,2017-03-22,2017
1490227200,1062.79,1022.02,1044.72,56517.89,58898141.13,1035.03,direct,2017-03-23,2017
1490313600,1038.38,927.35,1035.03,132599.72,130042865.54,939.7,direct,2017-03-24,2017
1490400000,995.96,890.43,939.7,127044.59,118395054.45,966.3,direct,2017-03-25,2017
1490486400,1004.32,946.65,966.3,85332.41,83255983.42,969.44,direct,2017-03-26,2017
1490572800,1048.85,961.8,969.44,91256.43,92332221.14,1045.14,direct,2017-03-27,2017
1490659200,1068.41,1015.45,1045.14,80000.9,83567551.46,1044.42,direct,2017-03-28,2017
1490745600,1058.66,1008.34,1044.42,68852.51,71261535.48,1041.9,direct,2017-03-29,2017
1490832000,1052.66,1020.93,1041.9,74984.88,77633883.53,1037.91,direct,2017-03-30,2017
1490918400,1088.2,1035.18,1037.91,90987.94,96543920.02,1079.11,direct,2017-03-31,2017
1491004800,1103.74,1067.47,1079.11,50658.36,55020078.21,1086.12,direct,2017-04-01,2017
1491091200,1109.48,1074.21,1086.12,70980.71,77853933.84,1097.4,direct,2017-04-02,2017
1491177600,1157.87,1095.55,1097.4,98499.3,111870807.42,1147.56,direct,2017-04-03,2017
1491264000,1161.19,1122.15,1147.56,70998.95,81164094.44,1141.77,direct,2017-04-04,2017
1491350400,1143.84,1110.06,1141.77,69469.37,78335573.66,1129.87,direct,2017-04-05,2017
1491436800,1201.55,1130.51,1129.87,92357.58,108182158.18,1188.7,direct,2017-04-06,2017
1491523200,1201.23,1173.18,1188.7,59746.57,71184485.98,1190.49,direct,2017-04-07,2017
1491609600,1198.22,1166.65,1190.49,33180.63,39393003.33,1180.78,direct,2017-04-08,2017
1491696000,1215.1,1173.99,1180.78,45351.08,54498333.26,1204.34,direct,2017-04-09,2017
1491782400,1214.87,1194.81,1204.34,40013.05,48473680.7,1206.71,direct,2017-04-10,2017
1491868800,1229.57,1195.76,1206.71,37394.78,45563707.07,1220.74,direct,2017-04-11,2017
1491955200,1225.46,1207.36,1220.74,44783.23,54699396.14,1212.53,direct,2017-04-12,2017
1492041600,1218.66,1150.29,1212.53,66051.93,78456422.62,1176.2,direct,2017-04-13,2017
1492128000,1195.4,1162.16,1176.2,47217.49,56129576.67,1177.33,direct,2017-04-14,2017
1492214400,1194.85,841.53,1177.33,28384.58,33877537.21,1176.99,direct,2017-04-15,2017
1492300800,1187.97,1166.74,1176.99,18930.29,22538918.55,1176.8,direct,2017-04-16,2017
1492387200,1202.97,1172.81,1176.8,46483.54,56095607.39,1194.01,direct,2017-04-17,2017
1492473600,1213.88,1191.14,1194.01,52747.52,64900219.25,1206.09,direct,2017-04-18,2017
1492560000,1218.21,1194.08,1206.09,43347.15,53034357.1,1215.2,direct,2017-04-19,2017
1492646400,1246.64,1210.67,1215.2,55194.86,69223360.98,1238.09,direct,2017-04-20,2017
1492732800,1256.97,1235.56,1238.09,41344.02,52498296.85,1249.64,direct,2017-04-21,2017
1492819200,1256.97,1215.78,1249.64,43814.59,55776932.72,1240.89,direct,2017-04-22,2017
1492905600,1256.23,1223.06,1240.89,42608.01,54224355.75,1249.14,direct,2017-04-23,2017
1492992000,1256.36,1234.86,1249.14,38542.24,49281629.32,1248.18,direct,2017-04-24,2017
1493078400,1272.62,1244.21,1248.18,43885.78,56659016.28,1264.31,direct,2017-04-25,2017
1493164800,1309.2,1263.0,1264.31,58908.66,77649710.39,1286.63,direct,2017-04-26,2017
1493251200,1346.79,1285.3,1286.63,61771.48,83319636.4,1332.91,direct,2017-04-27,2017
1493337600,1356.15,1287.62,1332.91,77569.41,104536476.71,1329.62,direct,2017-04-28,2017
1493424000,1343.69,1314.15,1329.62,40969.34,55982468.15,1336.28,direct,2017-04-29,2017
1493510400,1358.94,1309.66,1336.28,40643.04,55470285.83,1351.91,direct,2017-04-30,2017
1493596800,1448.68,1342.78,1351.91,100438.27,144414038.52,1415.81,direct,2017-05-01,2017
1493683200,1471.14,1394.83,1415.81,70004.82,103342244.97,1445.93,direct,2017-05-02,2017
1493769600,1496.39,1424.05,1445.93,81717.36,122551707.4,1485.55,direct,2017-05-03,2017
1493856000,1609.84,1437.11,1485.55,136711.3,213084949.56,1516.76,direct,2017-05-04,2017
1493942400,1588.11,1485.01,1516.76,120379.24,188015771.96,1507.77,direct,2017-05-05,2017
1494028800,1560.42,1503.93,1507.77,59602.01,92747185.54,1545.29,direct,2017-05-06,2017
1494115200,1572.89,1495.18,1545.29,71355.58,111708072.42,1554.45,direct,2017-05-07,2017
1494201600,1667.67,1552.86,1554.45,107226.89,174687869.23,1664.47,direct,2017-05-08,2017
1494288000,1757.39,1619.97,1664.47,127228.68,219169486.19,1697.5,direct,2017-05-09,2017
1494374400,1766.18,1664.99,1697.5,89679.81,156203600.07,1752.31,direct,2017-05-10,2017
1494460800,1864.76,1741.54,1752.31,109009.0,198829123.41,1819.29,direct,2017-05-11,2017
1494547200,1822.51,1641.18,1819.29,109341.25,192159873.95,1686.39,direct,2017-05-12,2017
1494633600,1770.5,1594.59,1686.39,75467.87,128390095.83,1763.74,direct,2017-05-13,2017
